region,room_availability_bs,price,rating,rating_count,transaction_count,tipe_kos,room_area,is_discount,is_electricity,is_kamar_mandi_dalam,is_kloset_duduk,fac_keamanan,fac_sirkulasi_udara,fac_parkir_motor,fac_parkir_mobil,fac_ruang_bersama,fac_layanan_kebersihan,fac_area_jemur,is_full_furnished,fac_ac,fac_tv,fac_bantal,fac_cermin,fac_shower,fac_air_panas,fac_wifi,fac_kulkas,fac_dapur,fac_dispenser,fac_kipas_angin,fac_kursi,fac_guling,fac_wastafel,fac_ember_mandi,fac_mesin_cuci,fac_bak_mandi
Jakarta Timur,0.00,853000.00,4.90,2.00,5.00,Kos Putri,8.80,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1
Jakarta Timur,0.00,975000.00,4.30,4.00,1.00,Kos Campur,9.00,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jakarta Pusat,1.00,1525000.00,4.60,22.00,49.00,Kos Campur,10.00,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0
Jakarta Pusat,0.00,1275000.00,4.50,7.00,14.00,Kos Campur,10.00,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0
Jakarta Utara,1.00,1615000.00,5.00,1.00,1.00,Kos Campur,16.65,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0
Jakarta Utara,0.00,1140000.00,0.00,0.00,6.00,Kos Campur,12.00,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0
Jakarta Utara,1.00,1012000.00,4.60,4.00,19.00,Kos Campur,8.75,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0
Jakarta Utara,2.00,1450000.00,0.00,0.00,0.00,Kos Campur,8.75,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0
Jakarta Timur,1.00,775000.00,4.90,3.00,8.00,Kos Putra,80.00,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
Jakarta Barat,0.00,927500.00,4.90,13.00,36.00,Kos Putra,9.00,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0
Jakarta Barat,0.00,1070000.00,4.80,51.00,80.00,Kos Campur,6.00,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
Jakarta Barat,0.00,1307500.00,4.80,4.00,6.00,Kos Campur,6.00,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
Jakarta Pusat,2.00,1313000.00,4.60,3.00,4.00,Kos Putri,9.00,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
Jakarta Pusat,2.00,991000.00,4.60,9.00,13.00,Kos Putri,9.00,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
Jakarta Timur,0.00,799250.00,4.60,35.00,63.00,Kos Campur,6.25,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Jakarta Pusat,1.00,1450000.00,4.40,4.00,7.00,Kos Campur,12.00,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0
Jakarta Pusat,0.00,1355000.00,5.00,1.00,2.00,Kos Campur,9.00,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0
Jakarta Pusat,3.00,1325000.00,4.80,3.00,9.00,Kos Campur,10.20,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0
Jakarta Pusat,0.00,1212500.00,4.90,6.00,18.00,Kos Campur,10.50,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Jakarta Pusat,0.00,825000.00,5.00,1.00,14.00,Kos Campur,7.50,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
