room_name,region,location,room_availability_bs,price,rating,rating_count,transaction_count,tipe_kos,room_area,is_electricity,is_kamar_mandi_dalam,is_kloset_duduk,fac_keamanan,fac_sirkulasi_udara,fac_parkir_motor,fac_parkir_mobil,fac_ruang_bersama,fac_layanan_kebersihan,fac_area_jemur,is_full_furnished,fac_ac,fac_tv,fac_bantal,fac_cermin,fac_shower,fac_air_panas,fac_wifi,fac_kulkas,fac_dapur,fac_dispenser,fac_kipas_angin,fac_kursi,fac_guling,fac_wastafel,fac_ember_mandi,fac_mesin_cuci,fac_bak_mandi,is_discount
Kost Apik Amalia Tipe A Pasar Minggu Jakarta Selatan,Jakarta Selatan,Pasar Minggu,0.00,2025000.00,0.00,0.00,2.00,Kos Putri,14.00,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1
Kost Apik Amalia Tipe B Pasar Minggu Jakarta Selatan,Jakarta Selatan,Pasar Minggu,0.00,1875000.00,0.00,0.00,2.00,Kos Putri,12.00,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1
Kost Apik Amalia Tipe C Pasar Minggu Jakarta Selatan,Jakarta Selatan,Pasar Minggu,0.00,1681000.00,5.00,2.00,1.00,Kos Putri,8.00,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1
Kost Apik Amalia Tipe D Pasar Minggu Jakarta Selatan,Jakarta Selatan,Pasar Minggu,0.00,1725000.00,5.00,3.00,10.00,Kos Putri,6.90,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1
Kost Apik Anggrek 13 Tipe A Setiabudi Jakarta Selatan,Jakarta Selatan,Setia Budi,0.00,1725000.00,4.60,9.00,10.00,Kos Campur,6.00,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0
Kost Apik Anggrek IV Perbanas Tipe A Setiabudi Jakarta Selatan,Jakarta Selatan,Setia Budi,0.00,1725000.00,4.80,13.00,18.00,Kos Putri,12.00,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0
Kost Apik Anggrek IV Perbanas Tipe B Setiabudi Jakarta Selatan,Jakarta Selatan,Setia Budi,1.00,1375000.00,4.80,65.00,128.00,Kos Putri,12.00,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0
Kost Apik Anis Tipe A Makasar Jakarta Timur,Jakarta Timur,Makasar,3.00,811440.00,5.00,3.00,8.00,Kos Campur,9.00,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1
Kost Apik Asih Tipe B Jagakarsa Jakarta Selatan,Jakarta Selatan,Jagakarsa,2.00,1225000.00,4.80,13.00,24.00,Kos Putri,12.00,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0
Kost Apik Aura Kwitang Tipe A Senen Jakarta Pusat,Jakarta Pusat,Senen,0.00,1525000.00,4.60,11.00,34.00,Kos Putra,5.00,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0
Kost Apik Az Zahra Tipe A Kramat Jati Jakarta Timur,Jakarta Timur,Kramat Jati,0.00,853000.00,4.90,2.00,5.00,Kos Putri,8.80,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1
