region,location,room_availability_bs,price,rating,rating_count,transaction_count,tipe_kos,room_area,is_electricity,is_kamar_mandi_dalam,is_kloset_duduk,fac_keamanan,fac_sirkulasi_udara,fac_parkir_motor,fac_parkir_mobil,fac_ruang_bersama,fac_layanan_kebersihan,fac_area_jemur,is_full_furnished,fac_ac,fac_tv,fac_bantal,fac_cermin,fac_shower,fac_air_panas,fac_wifi,fac_kulkas,fac_dapur,fac_dispenser,fac_kipas_angin,fac_kursi,fac_guling,fac_wastafel,fac_ember_mandi,fac_mesin_cuci,fac_bak_mandi,is_discount
Jakarta Timur,Kramat Jati,0.0,853000.0,4.9,2.0,5.0,Kos Putri,8.8,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1
Jakarta Timur,Kramat Jati,0.0,853000.0,4.9,2.0,5.0,Kos Putri,8.8,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1
Jakarta Timur,Kramat Jati,0.0,853000.0,4.9,2.0,5.0,Kos Putri,8.8,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1
Jakarta Timur,Cakung,0.0,975000.0,4.3,4.0,1.0,Kos Campur,9.0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Jakarta Pusat,Kemayoran,1.0,1525000.0,4.6,22.0,49.0,Kos Campur,10.0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0
Jakarta Pusat,Kemayoran,0.0,1275000.0,4.5,7.0,14.0,Kos Campur,10.0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0
Jakarta Utara,Cilincing,1.0,1615000.0,5.0,1.0,1.0,Kos Campur,16.650000000000002,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1
Jakarta Utara,Cilincing,0.0,1140000.0,0.0,0.0,6.0,Kos Campur,12.0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1
Jakarta Utara,Cilincing,1.0,1012000.0,4.6,4.0,19.0,Kos Campur,8.75,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1
Jakarta Utara,Cilincing,2.0,1450000.0,0.0,0.0,0.0,Kos Campur,8.75,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
Jakarta Timur,Cipayung,1.0,775000.0,4.9,3.0,8.0,Kos Putra,80.0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
Jakarta Barat,Kebon Jeruk,0.0,927500.0,4.9,13.0,36.0,Kos Putra,9.0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1
Jakarta Barat,Palmerah,0.0,1070000.0,4.8,51.0,80.0,Kos Campur,6.0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
Jakarta Barat,Palmerah,0.0,1307500.0,4.8,4.0,6.0,Kos Campur,6.0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
Jakarta Pusat,Johar Baru,2.0,1313000.0,4.6,3.0,4.0,Kos Putri,9.0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Jakarta Pusat,Johar Baru,2.0,991000.0,4.6,9.0,13.0,Kos Putri,9.0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1
Jakarta Timur,Makasar,0.0,799250.0,4.6,35.0,63.0,Kos Campur,6.25,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
Jakarta Pusat,Kemayoran,1.0,1450000.0,4.4,4.0,7.0,Kos Campur,12.0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1
Jakarta Pusat,Kemayoran,0.0,1355000.0,5.0,1.0,2.0,Kos Campur,9.0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1
Jakarta Pusat,Kemayoran,3.0,1325000.0,4.8,3.0,9.0,Kos Campur,10.2,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1
Jakarta Pusat,Kemayoran,0.0,1212500.0,4.9,6.0,18.0,Kos Campur,10.5,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
Jakarta Pusat,Kemayoran,0.0,825000.0,5.0,1.0,14.0,Kos Campur,7.5,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
Jakarta Pusat,Cempaka Putih,1.0,875000.0,5.0,3.0,6.0,Kos Putra,8.4,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
Jakarta Utara,Kecamatan Tanjung Priok,0.0,1313000.0,4.9,1.0,1.0,Kos Campur,10.08,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Jakarta Utara,Kecamatan Tanjung Priok,0.0,1221000.0,4.3,3.0,3.0,Kos Campur,12.96,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Jakarta Utara,Kecamatan Tanjung Priok,0.0,945000.0,5.0,1.0,4.0,Kos Campur,10.08,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Jakarta Utara,Penjaringan,0.0,2605000.0,4.9,1.0,4.0,Kos Campur,4.8,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0
Jakarta Barat,Cengkareng,0.0,1129000.0,4.8,12.0,25.0,Kos Campur,8.100000000000001,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
Jakarta Barat,Cengkareng,2.0,1345000.0,4.8,16.0,42.0,Kos Putra,10.8,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1
Jakarta Pusat,Cempaka Putih,0.0,1325000.0,4.6,4.0,7.0,Kos Putra,12.0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1
Jakarta Pusat,Cempaka Putih,0.0,875000.0,5.0,3.0,9.0,Kos Putra,9.0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1
Jakarta Selatan,Pancoran,0.0,1350000.0,5.0,15.0,29.0,Kos Putri,8.91,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Jakarta Pusat,Johar Baru,2.0,1355000.0,4.5,12.0,24.0,Kos Putra,7.0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
Jakarta Timur,Duren Sawit,0.0,927500.0,4.8,8.0,19.0,Kos Putra,5.670000000000001,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1
Jakarta Timur,Duren Sawit,1.0,1165000.0,5.0,1.0,2.0,Kos Putra,9.0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1
Jakarta Pusat,Kecamatan Kemayoran,0.0,1900000.0,4.8,19.0,39.0,Kos Campur,12.25,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1
Jakarta Pusat,Kecamatan Kemayoran,0.0,1650000.0,4.8,14.0,19.0,Kos Campur,9.0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1
Jakarta Pusat,Kecamatan Kemayoran,1.0,1187500.0,4.6,45.0,76.0,Kos Campur,12.25,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1
Jakarta Selatan,Kebayoran Lama,0.0,1405000.0,4.9,3.0,10.0,Kos Campur,8.5,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1
Jakarta Selatan,Pancoran,0.0,1165000.0,4.8,4.0,10.0,Kos Campur,9.569999999999999,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
Jakarta Timur,Jatinegara,0.0,855000.0,4.4,1.0,10.0,Kos Campur,8.64,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
Jakarta Pusat,Sawah Besar,0.0,1212500.0,4.5,2.0,5.0,Kos Campur,14.0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1
Jakarta Pusat,Sawah Besar,0.0,875000.0,4.6,27.0,50.0,Kos Campur,6.25,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1
Jakarta Timur,Cakung,0.0,1105000.0,0.0,0.0,4.0,Kos Campur,7.290000000000001,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1
